model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
ASK14,0.02,p0p020,SA,6,a38,0.184,0.184,,ASK14_Coeffs,AH6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a39,0,0,,ASK14_Coeffs,AI6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a40,0.088,0.088,,ASK14_Coeffs,AJ6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a41,-0.194,-0.194,,ASK14_Coeffs,AK6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a42,0.061,0.061,,ASK14_Coeffs,AL6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,s1,0.76,0.76,,ASK14_Coeffs,AM6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,s2,0.52,0.52,,ASK14_Coeffs,AN6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,s3,0.47,0.47,,ASK14_Coeffs,AO6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,s4,0.36,0.36,,ASK14_Coeffs,AP6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,s1 (known vs),0.747,0.747,,ASK14_Coeffs,AQ6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,s2 (known vs),0.501,0.501,,ASK14_Coeffs,AR6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,s5 (Japan Phi),0.54,0.54,,ASK14_Coeffs,AS6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,s6 (Japan Phi),0.63,0.63,,ASK14_Coeffs,AT6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,VLIN,770,770,,ASK14_Coeffs,B7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,b,-1.39,-1.39,,ASK14_Coeffs,C7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,n,1.5,1.5,,ASK14_Coeffs,D7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,M1,6.75,6.75,,ASK14_Coeffs,E7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,c,2.4,2.4,,ASK14_Coeffs,F7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,c4,4.5,4.5,,ASK14_Coeffs,G7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a1,0.602,0.602,,ASK14_Coeffs,H7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a2,-0.79,-0.79,,ASK14_Coeffs,I7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a3,0.275,0.275,,ASK14_Coeffs,J7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a4,-0.1,-0.1,,ASK14_Coeffs,K7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a5,-0.41,-0.41,,ASK14_Coeffs,L7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a6,2.1566,2.1566,,ASK14_Coeffs,M7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a7,0,0,,ASK14_Coeffs,N7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a8,-0.015,-0.015,,ASK14_Coeffs,O7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a10,1.615,1.615,,ASK14_Coeffs,P7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a11,0,0,,ASK14_Coeffs,Q7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a12,-0.1,-0.1,,ASK14_Coeffs,R7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a13,0.6,0.6,,ASK14_Coeffs,S7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a14,-0.3,-0.3,,ASK14_Coeffs,T7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a15,1.1,1.1,,ASK14_Coeffs,U7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a16,0,0,,ASK14_Coeffs,V7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a17,-0.0075,-0.0075,,ASK14_Coeffs,W7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a43,0.1,0.1,,ASK14_Coeffs,X7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a44,0.05,0.05,,ASK14_Coeffs,Y7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a45,0,0,,ASK14_Coeffs,Z7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a46,-0.05,-0.05,,ASK14_Coeffs,AA7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a25,-0.0016,-0.0016,,ASK14_Coeffs,AB7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a28,0.0023,0.0023,,ASK14_Coeffs,AC7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a29,-0.0034,-0.0034,,ASK14_Coeffs,AD7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a31,-0.1447,-0.1447,,ASK14_Coeffs,AE7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a36,0.249,0.249,,ASK14_Coeffs,AF7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a37,0.32,0.32,,ASK14_Coeffs,AG7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a38,0.18,0.18,,ASK14_Coeffs,AH7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a39,0,0,,ASK14_Coeffs,AI7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a40,0.093,0.093,,ASK14_Coeffs,AJ7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a41,-0.175,-0.175,,ASK14_Coeffs,AK7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,a42,0.162,0.162,,ASK14_Coeffs,AL7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,s1,0.781,0.781,,ASK14_Coeffs,AM7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,s2,0.52,0.52,,ASK14_Coeffs,AN7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,s3,0.47,0.47,,ASK14_Coeffs,AO7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,s4,0.36,0.36,,ASK14_Coeffs,AP7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,s1 (known vs),0.769,0.769,,ASK14_Coeffs,AQ7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,s2 (known vs),0.501,0.501,,ASK14_Coeffs,AR7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,s5 (Japan Phi),0.55,0.55,,ASK14_Coeffs,AS7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.03,p0p030,SA,7,s6 (Japan Phi),0.63,0.63,,ASK14_Coeffs,AT7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,VLIN,915,915,,ASK14_Coeffs,B8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,b,-1.219,-1.219,,ASK14_Coeffs,C8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,n,1.5,1.5,,ASK14_Coeffs,D8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,M1,6.75,6.75,,ASK14_Coeffs,E8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,c,2.4,2.4,,ASK14_Coeffs,F8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,c4,4.5,4.5,,ASK14_Coeffs,G8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,a1,0.707,0.707,,ASK14_Coeffs,H8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,a2,-0.79,-0.79,,ASK14_Coeffs,I8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,a3,0.275,0.275,,ASK14_Coeffs,J8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.05,p0p050,SA,8,a4,-0.1,-0.1,,ASK14_Coeffs,K8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
