model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
CB14,0.03,p0p030,SA,7,Dc20 (CA),0,0,,CB14_Coeffs,W7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,Dc20 (JP),-0.0034,-0.0034,,CB14_Coeffs,X7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,Dc20 (CH),0.0037,0.0037,,CB14_Coeffs,Y7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,a2,0.167,0.167,,CB14_Coeffs,Z7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,h1,0.246,0.246,,CB14_Coeffs,AA7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,h2,1.467,1.467,,CB14_Coeffs,AB7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,h3,-0.713,-0.713,,CB14_Coeffs,AC7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,h4,1,1,,CB14_Coeffs,AD7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,h5,-0.338,-0.338,,CB14_Coeffs,AE7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,h6,-0.259,-0.259,,CB14_Coeffs,AF7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,k1,908,908,,CB14_Coeffs,AG7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,k2,-1.273,-1.273,,CB14_Coeffs,AH7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,k3,1.841,1.841,,CB14_Coeffs,AI7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c,1.88,1.88,,CB14_Coeffs,AJ7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,n,1.18,1.18,,CB14_Coeffs,AK7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,f1,0.747,0.747,,CB14_Coeffs,AL7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,f2,0.503,0.503,,CB14_Coeffs,AM7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,t1,0.446,0.446,,CB14_Coeffs,AN7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,t2,0.344,0.344,,CB14_Coeffs,AO7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,flnAF,0.3,0.3,,CB14_Coeffs,AP7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,fC,0.165,0.165,,CB14_Coeffs,AQ7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,"rlnPGA,lnY",0.986,0.986,,CB14_Coeffs,AR7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c0,-3.479,-3.479,,CB14_Coeffs,B8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c1,0.887,0.887,,CB14_Coeffs,C8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c2,0.674,0.674,,CB14_Coeffs,D8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c3,-1.388,-1.388,,CB14_Coeffs,E8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c4,-0.615,-0.615,,CB14_Coeffs,F8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c5,-2.791,-2.791,,CB14_Coeffs,G8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c6,0.24,0.24,,CB14_Coeffs,H8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c7,6.317,6.317,,CB14_Coeffs,I8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c8,0,0,,CB14_Coeffs,J8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c9,-0.244,-0.244,,CB14_Coeffs,K8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c10,0.826,0.826,,CB14_Coeffs,L8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c11,1.449,1.449,,CB14_Coeffs,M8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c12,2.138,2.138,,CB14_Coeffs,N8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c13,1.549,1.549,,CB14_Coeffs,O8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c14,-0.0663,-0.0663,,CB14_Coeffs,P8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c15,-0.339,-0.339,,CB14_Coeffs,Q8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c16,0.295,0.295,,CB14_Coeffs,R8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c17,0.1226,0.1226,,CB14_Coeffs,S8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c18,0.027,0.027,,CB14_Coeffs,T8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c19,0.00803,0.00803,,CB14_Coeffs,U8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,c20,-0.0063,-0.0063,,CB14_Coeffs,V8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,Dc20 (CA),0,0,,CB14_Coeffs,W8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,Dc20 (JP),-0.0037,-0.0037,,CB14_Coeffs,X8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,Dc20 (CH),0.004,0.004,,CB14_Coeffs,Y8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,a2,0.173,0.173,,CB14_Coeffs,Z8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,h1,0.251,0.251,,CB14_Coeffs,AA8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.05,p0p050,SA,8,h2,1.449,1.449,,CB14_Coeffs,AB8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
