model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
BSSA14,0.03,p0p030,SA,7,e0,0.56916,0.56916,,BSSA14_Coeffs,B7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,e1,0.6092,0.6092,,BSSA14_Coeffs,C7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,e2,0.40391,0.40391,,BSSA14_Coeffs,D7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,e3,0.55783,0.55783,,BSSA14_Coeffs,E7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,e4,1.4261,1.4261,,BSSA14_Coeffs,F7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,e5,0.061444,0.061444,,BSSA14_Coeffs,G7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,e6,-0.1669,-0.1669,,BSSA14_Coeffs,H7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,Mh,5.5,5.5,,BSSA14_Coeffs,I7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,c1,-1.1421,-1.1421,,BSSA14_Coeffs,J7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,c2,0.18842,0.18842,,BSSA14_Coeffs,K7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,c3,-0.008336,-0.008336,,BSSA14_Coeffs,L7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,Mref,4.5,4.5,,BSSA14_Coeffs,M7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,Rref (km),1,1,,BSSA14_Coeffs,N7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,h (km),4.49,4.49,,BSSA14_Coeffs,O7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.03,p0p030,SA,7,Dc3 (globalCATW),0,0,,BSSA14_Coeffs,P7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
