model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
CY14,0.03,p0p030,SA,7,c8a,0.2695,0.2695,,CY14_Coeffs,G7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c1,-1.2972,-1.2972,,CY14_Coeffs,H7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c1a,0.165,0.165,,CY14_Coeffs,I7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c1b,-0.255,-0.255,,CY14_Coeffs,J7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c1c,-0.165,-0.165,,CY14_Coeffs,K7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c1d,0.255,0.255,,CY14_Coeffs,L7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,cn,15.8819,15.8819,,CY14_Coeffs,M7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,cM,4.9993,4.9993,,CY14_Coeffs,N7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c3,1.9636,1.9636,,CY14_Coeffs,O7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c5,6.4551,6.4551,,CY14_Coeffs,P7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,cHM,3.0974,3.0974,,CY14_Coeffs,Q7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c6,0.4992,0.4992,,CY14_Coeffs,R7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c7,0.0352,0.0352,,CY14_Coeffs,S7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c7b,0.0533,0.0533,,CY14_Coeffs,T7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c8b,1.6421,1.6421,,CY14_Coeffs,U7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c9,0.9396,0.9396,,CY14_Coeffs,V7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c9a,0.1194,0.1194,,CY14_Coeffs,W7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c9b,6.9113,6.9113,,CY14_Coeffs,X7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c11,0,0,,CY14_Coeffs,Y7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,c11b,-0.4536,-0.4536,,CY14_Coeffs,Z7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,cg1,-0.007869,-0.007869,,CY14_Coeffs,AA7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,cg2,-0.006758,-0.006758,,CY14_Coeffs,AB7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,cg3,4.2519,4.2519,,CY14_Coeffs,AC7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f1,-0.4368,-0.4368,,CY14_Coeffs,AD7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f2,-0.1403,-0.1403,,CY14_Coeffs,AE7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f3,-0.007354,-0.007354,,CY14_Coeffs,AF7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f4,0.119888,0.119888,,CY14_Coeffs,AG7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f5,0,0,,CY14_Coeffs,AH7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f6,300,300,,CY14_Coeffs,AI7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,t1,0.4063,0.4063,,CY14_Coeffs,AJ7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,t2,0.2689,0.2689,,CY14_Coeffs,AK7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,s1,0.4988,0.4988,,CY14_Coeffs,AL7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
